carga,versao,schedule,threads,repeticao,tempo_s,passos,checksum
grande,omp,guided:1024,6,10,3.856737,100,14825089465781038537
grande,omp,guided:1024,8,1,3.354693,100,14825089465781038537
grande,omp,guided:1024,8,2,3.355965,100,14825089465781038537
grande,omp,guided:1024,8,3,3.359841,100,14825089465781038537
grande,omp,guided:1024,8,4,3.357267,100,14825089465781038537
grande,omp,guided:1024,8,5,3.361893,100,14825089465781038537
grande,omp,guided:1024,8,6,3.362365,100,14825089465781038537
grande,omp,guided:1024,8,7,3.362950,100,14825089465781038537
grande,omp,guided:1024,8,8,3.361864,100,14825089465781038537
grande,omp,guided:1024,8,9,3.362763,100,14825089465781038537
grande,omp,guided:1024,8,10,3.368244,100,14825089465781038537
